business_name,immediate_categories,parent_categories,price
Pho House,Vietnamese,Restaurants,$
Chatime,Coffee & Tea,Food,$
Doug McNish's Public Kitchen,"Gluten-Free, Vegan",Restaurants,$$
Tsuki Izakaya,"Korean, Japanese",Restaurants,$$
Artegelato & Caffe,"Ice Cream & Frozen Yogurt, Coffee & Tea",Food,$$
Chula Taberna Mexicana,"Mexican, Tiki Bars","Restaurants,Bars",$$
Pilot Coffee Roasters,Coffee & Tea,Food,
Pour Boy,Pubs,Bars,$$
Indian Grill,Indian,Restaurants,$$
La Maquette,Venues & Event Spaces,Event Planning & Services,
Carmen's Steak House,Steakhouses,Restaurants,$$$$
South Asia Malaysian Cuisine,"Malaysian, Chinese",Restaurants,$$
Regency Restaurant,Indian,Restaurants,$$
Potbelly Sandwich Shop,"Ice Cream & Frozen Yogurt, Sandwiches, Salad","Restaurants,Food",$$
Hotel Delta Chelsea,Hotels,"Event Planning & Services,Hotels & Travel",$$
Bar Sybanne,"Moroccan, Mediterranean, Middle Eastern",Restaurants,$$$
Broadview Espresso,Coffee & Tea,Food,$
Patisserie 27,Bakeries,Food,$$
Norling,"Asian Fusion, Himalayan/Nepalese",Restaurants,$
After Queen Tea Shop,Tea Rooms,Food,$$
Archeo,"Bars, Italian","Restaurants,Nightlife",$$
Souvlaki Express,Greek,Restaurants,$$
The Good Neighbour Espresso Bar,Coffee & Tea,Food,$$
Grandeur Palace,"Seafood, Dim Sum","Restaurants,Chinese",$$
Ten Ren's Tea,"Tea Rooms, Coffee & Tea, Taiwanese","Restaurants,Food",$$
Bagels On Fire,"Coffee & Tea, Breakfast & Brunch, Bagels","Restaurants,Food",$
Fast Fresh Foods,"Sandwiches, Salad",Restaurants,$$
Annette Food Market,"Pizza, Tapas Bars, Italian",Restaurants,$$$
Toro Wine bar,"Wine Bars, Tapas Bars","Restaurants,Bars",$$$
Ronnie's Local 069,Dive Bars,Bars,$
Jaipur Grille,Indian,Restaurants,$$
The Peartree Restaurant,"Breakfast & Brunch, Seafood, Mediterranean",Restaurants,$$
Paldo Gangsan,Korean,Restaurants,$
Ken Oh,Japanese,Restaurants,$$
Gong Cha,"Bubble Tea, Juice Bars & Smoothies",Food,
Danforth Dragon,"Indian, Chinese",Restaurants,$$
Ontario Spring Water Sake Company,"Breweries, Beer Tours","Food,Tours",$$
Hiro Sushi Restaurant,"Sushi Bars, Japanese",Restaurants,$$$
The Fox,"Pubs, Gastropubs","Restaurants,Bars",$$
Superfood Eateries,"Juice Bars & Smoothies, Vegan, Vegetarian","Restaurants,Food",$$
Canada Computers,Computers,Shopping,$$
OK OK Diner,"Diners, Breakfast & Brunch",Restaurants,$$
Bow Thai Restaurant,Thai,Restaurants,$$
Douce France,"Chocolatiers & Shops, French","Restaurants,Specialty Food",$$$
Cinamon Indian Bistro,Indian,Restaurants,$$
The Beaver,"Canadian (New), Gay Bars","Restaurants,Bars",$$
Marriott Downtown at CF Toronto Eaton Centre,"Venues & Event Spaces, Hotels","Event Planning & Services,Hotels & Travel",$$$
Bryden's,"Pubs, Sandwiches","Restaurants,Bars",$$
Insadong,Korean,Restaurants,$
Asahi Sushi,"Korean, Sushi Bars, Japanese",Restaurants,$$
Gelato Simply Italian,Ice Cream & Frozen Yogurt,Food,$$
The Dessert Kitchen,"Desserts, Shaved Snow",Food,$$
Pantages Hotel Toronto Centre,Hotels,"Event Planning & Services,Hotels & Travel",$$$
Chito's Pizza,"Turkish, Pizza, Mediterranean",Restaurants,$$
Outpost Coffee Roasters,Coffee Roasteries,Food,$$
Cabana Pool Bar,"Lounges, Venues & Event Spaces","Event Planning & Services,Bars",$$
Zavida Coffee Roasters,Coffee Roasteries,Food,$$
Kasai Grill House,"Barbeque, Korean, Sushi Bars",Restaurants,$$
Ashbury Cleaners,Dry Cleaning,Laundry Services,$$$$
Maido Japanese Restaurant,Japanese,Restaurants,$$
Lawai'a Poke Bar,"Hawaiian, Poke","Restaurants,Food",$$
Trapped!,"Escape Games, Ticket Sales","Arts & Entertainment,Active Life",
Urban Thai,Thai,Restaurants,$$
Sweet Bliss Baking Company,"Desserts, Bakeries",Food,$
Sol'exotica Tanning Spa,Tanning,Beauty & Spas,$$
Christina's On the Danforth,"Seafood, Greek, Mediterranean",Restaurants,$$
Hanabi Sushi,Japanese,Restaurants,$
Itamae AYCE Sushi,"Sushi Bars, Japanese",Restaurants,$$
The Healthy Butcher,Butcher,Food,$$$
Lime Asian Cuisine,Thai,Restaurants,$$
Hot Docs Ted Rogers Cinema,Cinema,Arts & Entertainment,
Firkin Freehouse,Pubs,Bars,$$
New Northern Dumplings,Chinese,Restaurants,$
00 Gelato,Ice Cream & Frozen Yogurt,Food,$
Shoeless Joe's Sports Grill - Queens Quay,"Burgers, Sports Bars, Beer Bar","Restaurants,Bars",$$
El Pulgarcito,Latin American,Restaurants,$$
Odin,"Bars, Cafes","Restaurants,Nightlife",$
Lola Sushi,"Korean, Sushi Bars, Japanese",Restaurants,$$
Bloom Restaurant,Latin American,Restaurants,$$$
Silver Snail Comic,Comic Books,"Books, Mags, Music & Video",$$
CrudaCafe,"Vegan, Live/Raw Food",Restaurants,$$
CJ Lunch Box,Sushi Bars,Restaurants,$
Tropical Joe's,"Caribbean, Fast Food",Restaurants,$
St Clair Banh Cuon Pho Ga,Vietnamese,Restaurants,$
Hakka Wow,Hakka,Chinese,$$
Through Being Cool,"Bakeries, Desserts, Vegan","Restaurants,Food",$
Penelope Restaurant,"Greek, Mediterranean",Restaurants,$$
Emporium Latino,"Imported Food, Latin American","Restaurants,Food",$
Polish'd Nail Bar,Nail Salons,Beauty & Spas,$$
High Park Zoo,"Zoos, Parks",Active Life,
Marigold Indian Bistro,Indian,Restaurants,$$
I Love Sushi,"Sushi Bars, Japanese",Restaurants,$
Il Mulino,Italian,Restaurants,$$$
Civello Rosedale Salon & Spa,"Nail Salons, Hair Salons, Day Spas",Beauty & Spas,$$$
Firkin on Bloor,Pubs,Bars,$$
Einstein Cafe & Pub,Pubs,Bars,$
Ovest Cucina e Vineria,"Wine Bars, Italian","Restaurants,Bars",$$$
Juicy Dumpling,"Dim Sum, Dumplings","Restaurants,Chinese",$
Sushi Delight,"Sushi Bars, Japanese",Restaurants,$$
Cheese Boutique,"Butcher, Chocolatiers & Shops, Cheese Shops","Food,Specialty Food",$$$
Pattaya Thai Kitchen,Thai,Restaurants,$$
Tasty BBQ Seafood Restaurant,"Barbeque, Seafood, Chinese",Restaurants,$$
Sora Beauty Salon,Hair Salons,Beauty & Spas,$
Burrito Place,Mexican,Restaurants,$
Richtree Natural Market Restaurants,"Canadian (New), Burgers, Breakfast & Brunch",Restaurants,$$
Roywoods,"Caribbean, Sandwiches",Restaurants,$$
Lou Dawg's,"American (Traditional), Barbeque, Sandwiches",Restaurants,$$
St James's Gate Toronto,"Pubs, Beer, Wine & Spirits, Irish","Restaurants,Bars,Food",$$
Hancook Cheese Dakgalbi,Korean,Restaurants,$$
The Croissant Tree,"Coffee & Tea, Breakfast & Brunch, Sandwiches","Restaurants,Food",$$
Milkcow Cafe,Ice Cream & Frozen Yogurt,Food,$$
Veggie D'Light,"Gluten-Free, Caribbean, Vegan",Restaurants,$
Hard Rock Nails,Nail Salons,Beauty & Spas,$$$
The Caribbean Queen of Patties,"Caribbean, Specialty Food","Restaurants,Food",
Guirei Japanese Restaurant,"Sushi Bars, Japanese",Restaurants,$$
Beach Hill Smokehouse,"Desserts, Barbeque, Sandwiches","Restaurants,Food",$$
Aziza Cafe,"Coffee & Tea, Breakfast & Brunch, Juice Bars & Smoothies","Restaurants,Food",$$
Que Ling Restaurant,Vietnamese,Restaurants,$
CocoaLatte,"Coffee & Tea, Breakfast & Brunch, Sandwiches","Restaurants,Food",$$
Nathan Phillips Square,Landmarks & Historical Buildings,Public Services & Government,
Sharon Garden,Korean,Restaurants,$$
Spicy Dragon,"Indian, Food Delivery Services, Chinese","Restaurants,Food",$
Executive Hotel Cosmopolitan,Hotels,"Event Planning & Services,Hotels & Travel",$$$
Burdock,"Music Venues, Bars","Arts & Entertainment,Nightlife",$$
Chatime - Yonge & College,Coffee & Tea,Food,$
Sushi California,Sushi Bars,Restaurants,$$
Chimac Pub & Fried Chicken,"Korean, Pubs, Chicken Wings","Restaurants,Bars",$$
Batifole Restaurant,French,Restaurants,$$$
Phoenix Concert Theatre,Music Venues,"Arts & Entertainment,Nightlife",$$
MUJI,"Cards & Stationery, Home Decor","Event Planning & Services,Arts & Crafts,Home & Garden,Flowers & Gifts",$$
Hogtown Smoke,"Barbeque, Southern",Restaurants,$$
Canis,"Canadian (New), Wine Bars","Restaurants,Bars",$$$
Sushi Friends,Sushi Bars,Restaurants,$$
Rabba Fine Foods,"International Grocery, Convenience Stores, Grocery",Food,
The Danish Pastry House,"Patisserie/Cake Shop, Bakeries",Food,$
What a Bagel,"Sandwiches, Bagels","Restaurants,Food",
Getoutside,Shoe Stores,Fashion,$$
Montgomery's Restaurant,"Canadian (New), Desserts, Wine Bars","Restaurants,Food,Bars",$$$
Wok & Roast Chinese BBQ,"Barbeque, Chinese",Restaurants,$
Food Basics,Grocery,Food,$
Daily Sushi Japanese Restaurant,"Sushi Bars, Japanese",Restaurants,$$
Craque de Creme,Desserts,Food,$$
Kitchen Stuff Plus,"Home Decor, Kitchen & Bath",Home & Garden,$$
Ali's West Indian Roti Shop,Caribbean,Restaurants,$
Hibachi Teppanyaki & Bar,"Steakhouses, Sushi Bars, Japanese",Restaurants,$$$
Sunrise Grill & Crepe,"Creperies, Breakfast & Brunch",Restaurants,$$
ViVetha Bistro,"Canadian (New), Gluten-Free, Italian",Restaurants,$$
Bar Neon,"Bars, Mediterranean","Restaurants,Nightlife",$$
Leslieville Cheese Market,Cheese Shops,Specialty Food,$$
Harry Rosen,"Formal Wear, Accessories, Men's Clothing",Fashion,$$$$
Constantine,"Italian, Mediterranean, Middle Eastern",Restaurants,$$
Eastside Social,"Seafood, Cocktail Bars","Restaurants,Bars",$$
Nawab Express On Avenue,Indian,Restaurants,$$
Bolt Fresh Bar,Juice Bars & Smoothies,Food,$$
Hollandaise Diner,"Diners, Breakfast & Brunch",Restaurants,$$
The Green Wood,Breakfast & Brunch,Restaurants,$$
Pero Restaurant & Lounge,"African, Vegan, Vegetarian",Restaurants,$$
The Last Temptation,"American (Traditional), Bars","Restaurants,Nightlife",$
The Tempered Room,French,Restaurants,$$
Sunnyside Grill,Breakfast & Brunch,Restaurants,$
Palgong Tea,"Bubble Tea, Desserts, Coffee & Tea",Food,
Bacchus Roti Shop,"Indian, Caribbean",Restaurants,$$
Glad Day Bookshop,"Bookstores, Venues & Event Spaces, Coffee & Tea","Books, Mags, Music & Video,Event Planning & Services,Food",$$
Bar Ape,Ice Cream & Frozen Yogurt,Food,$
Comfort Nails,"Eyelash Service, Nail Salons, Waxing","Beauty & Spas,Hair Removal",$$
Grillies,Mexican,Restaurants,$
West Elm,"Furniture Stores, Lighting Stores, Outdoor Furniture Stores",Home & Garden,
Melanie's Bistro & Patisserie,"Diners, Breakfast & Brunch, Italian",Restaurants,$$
Pacific Junction Hotel,Canadian (New),Restaurants,$$
Seoulicious,Korean,Restaurants,$$
Druxy's Famous Deli,"Breakfast & Brunch, Sandwiches, Delis",Restaurants,$
Mankind Grooming Studio For Men,"Skin Care, Nail Salons, Waxing","Beauty & Spas,Hair Removal",$$$
Ed Mirvish Theatre,Performing Arts,Arts & Entertainment,
My Ninja Movers,Movers,Home Services,
Horizons Restaurant,American (Traditional),Restaurants,$$
BATL - The Backyard Axe Throwing League,Axe Throwing,Active Life,
Jesus Guy at Dundas Square,Local Flavor,,
Drupati's Doubles and Roti Shop,Caribbean,Restaurants,$
Imagine Cinemas Market Square,Cinema,Arts & Entertainment,
Black Market Vintage Clothing,"Used, Vintage & Consignment",Fashion,$
Siam Square Hut,Thai,Restaurants,$$
Cineplex VIP Cinemas,Cinema,Arts & Entertainment,
Sky Yard,Lounges,Bars,$$
Mistura Restaurant,Italian,Restaurants,$$$$
Booyah,"Ice Cream & Frozen Yogurt, Desserts",Food,$
Indian Street Food Company,"Indian, Wine Bars","Restaurants,Bars",$$
The Homeway,"Diners, Breakfast & Brunch",Restaurants,$$
Rock 'n' Horse Saloon,"Comfort Food, American (Traditional), Bars","Restaurants,Nightlife",$$
The Emmet Ray,"Music Venues, Jazz & Blues","Arts & Entertainment,Nightlife",$$
Skyline Restaurant,"Steakhouses, Bars, Diners","Restaurants,Nightlife",$$
Daio Japanese Restaurant,Japanese,Restaurants,$$
Noah's Natural Foods,Health Markets,Specialty Food,$$
Leslie Jones,"Comfort Food, Mediterranean, Italian",Restaurants,$$
Sportsnet Grill,"Canadian (New), Bars, Breakfast & Brunch","Restaurants,Nightlife",$$
Veghed,"Vegan, Vegetarian",Restaurants,$$
Delight,"Ice Cream & Frozen Yogurt, Chocolatiers & Shops, Desserts, Coffee & Tea","Food,Specialty Food",$$
Isaan Der,Thai,Restaurants,$$
Bam! Breakfast & Bistro,Breakfast & Brunch,Restaurants,$$
Sushi Garden,Sushi Bars,Restaurants,$$
Yonge-Dundas Square,Landmarks & Historical Buildings,Public Services & Government,
Suksi Biryani House,Indian,Restaurants,$
Lucky Moose Food Mart,Grocery,Food,$
Soufi's,"Syrian, Cafes, Middle Eastern",Restaurants,$
Beacher Cafe,Breakfast & Brunch,Restaurants,$$
Chronic Ink,"Tattoo, Piercing",Beauty & Spas,$$$
Garrison's by the Park Barbershop,Barbers,Beauty & Spas,$$
Simon's Sushi,"Korean, Japanese",Restaurants,
180 Smoke Vape Store,Vape Shops,Shopping,$$
Gryfe's Bagel Bakery,Bagels,Food,$
Salus Fresh Foods,"Juice Bars & Smoothies, Salad","Restaurants,Food",$
Staples,Office Equipment,Shopping,$$
Wild North Flowers,"Floral Designers, Florists","Event Planning & Services,Flowers & Gifts",$$
Za Pizza Bistro Adelaide,Pizza,Restaurants,
Atmosphere,Sporting Goods,Shopping,$$$
Fickle Pickle,"Breakfast & Brunch, Greek, Sandwiches",Restaurants,$$
General Assembly Pizza,Pizza,Restaurants,$$
Charcoal Kebab House,"Chinese, Kebab, Halal",Restaurants,$$
The Cloak Bar,Cocktail Bars,Bars,$$
Bac Ky Vietnamese Canteen,Vietnamese,Restaurants,$$
Let's Be Frank,Italian,Restaurants,$$
NextDoor,"Canadian (New), Bars, Tapas/Small Plates","Restaurants,Nightlife",$$
Akashiro,Japanese,Restaurants,$$
Sichuan Garden Restaurant,Chinese,Restaurants,$$
Benihana Japanese Steakhouse & Sushi Lounge,Japanese,Restaurants,$$$$
Nice One Nails,Nail Salons,Beauty & Spas,$
The New Yorker Deli,"Sandwiches, Delis",Restaurants,$$
Mazz Sushi,"Sushi Bars, Japanese",Restaurants,$$
Euro Shawarma,Turkish,Restaurants,$
Chef Of India,Indian,Restaurants,
Ladybug Florist In the Village,Florists,Flowers & Gifts,$$
Chop Chop,Chinese,Restaurants,$
TCJ Restaurant,"Thai, Chinese, Japanese",Restaurants,$$
Sushi Mugen,"Sushi Bars, Japanese",Restaurants,
Fox & Fiddle,Pubs,Bars,$$
For The Love of Cake Custom Creations,"Desserts, Bakeries",Food,$$
Seoul Zimzilbang Korean Sauna,"Massage, Day Spas",Beauty & Spas,$$
Brioche Dorée,"Bakeries, French","Restaurants,Food",$$
Purple Penguin Cafe,"Coffee & Tea, Breakfast & Brunch, Sandwiches","Restaurants,Food",$
Casa Di Giorgios,"Pizza, Italian",Restaurants,$$
Wako Sushi + Sake Bar,"Korean, Sushi Bars, Japanese",Restaurants,$$
Yanagi Sushi,"Korean, Sushi Bars, Japanese",Restaurants,$$
Avis Rent A Car,"Car Rental, Travel Services",Hotels & Travel,
Roti Time,Indian,Restaurants,$
Szechuan Legend,Dim Sum,Chinese,$$
TD Canada Trust,Banks & Credit Unions,Financial Services,
Iam Yoga,Yoga,Fitness & Instruction,
DOMA,Korean,Restaurants,$$$
Eye Love Beauty Bar,"Makeup Artists, Eyelash Service",Beauty & Spas,$$$
Lao Thai Restaurant,"Thai, Laotian",Restaurants,$$
Patient Networks,Medical Centers,Health & Medical,
Thirsty & Miserable,Dive Bars,Bars,$$
Downtown Animal Hospital,Veterinarians,Pets,
Shawarma Boss,Middle Eastern,Restaurants,$
Drake Commissary,"Bars, Bakeries","Food,Nightlife",$$$
Hi Tea,Bubble Tea,Food,$$$
Home,"Desserts, Bakeries, Cafes","Restaurants,Food",$
Heart Sushi,"Sushi Bars, Japanese",Restaurants,$$$
Indian Biriyani House,"Indian, Bangladeshi, Halal",Restaurants,$
Viet House,"Asian Fusion, Vietnamese",Restaurants,$
Buffet Palace,"Indian, Pakistani, Buffets",Restaurants,$$
Kevin's Taiyaki,"Asian Fusion, Specialty Food, Japanese","Restaurants,Food",$
Common Sort,"Used, Vintage & Consignment, Thrift Stores","Shopping,Fashion",$$
Hotel Gelato,"Ice Cream & Frozen Yogurt, Comfort Food, Cafes","Restaurants,Food",$$
Paradise Farms Prime Beef Bistro,"Burgers, Steakhouses, Canadian (New)",Restaurants,$$
The Mod Club,"Music Venues, Bars","Arts & Entertainment,Nightlife",$$
Evoke Salon,Hair Salons,Beauty & Spas,$$
Uncle Tony's,"Pizza, Italian",Restaurants,$$
The Aga Khan Museum,Museums,Arts & Entertainment,
The Princess of Wales Theatre,Performing Arts,Arts & Entertainment,
Naan & Kabob,"Kebab, Afghan",Restaurants,$$
The Fifth & Terrace,"Venues & Event Spaces, Cocktail Bars, Italian","Restaurants,Event Planning & Services,Bars",$$$$
Snakes & Lagers,"Pubs, Gastropubs","Restaurants,Bars",$$
The Tilted Dog Pub & Kitchen,"Pubs, Sandwiches","Restaurants,Bars",$$
Baldini Restaurant,"Gluten-Free, Pizza, Italian",Restaurants,$$
The Local Cafe and Restaurant,Cafes,Restaurants,
Paganelli's Risotteria,Italian,Restaurants,$$
The Home Depot,"Nurseries & Gardening, Hardware Stores, Department Stores","Home & Garden,Shopping,Fashion",$$
Red King Kong,Ramen,Japanese,$
Schnitzel Hub,"Modern European, Ukrainian, German",Restaurants,$$
Doo Roo Ae,Korean,Restaurants,$$
East Liberty Medical Clinic,"Naturopathic/Holistic, Chiropractors, Walk-in Clinics","Medical Centers,Doctors,Health & Medical",
Villa Madina,Middle Eastern,Restaurants,$$
Papa CEO King Slice,Pizza,Restaurants,$
St. Urbain Bagel Bakery,Bagels,Food,$
Happy Lemon,Bubble Tea,Food,$$
Coffee Culture Café & Eatery,"Coffee & Tea, Breakfast & Brunch","Restaurants,Food",$$
The Sushi Bar,"Sushi Bars, Japanese",Restaurants,$$
Health Gourmet,Chinese,Restaurants,$$
John Steinberg and Associates,Hair Salons,Beauty & Spas,$$
H2GOA,Hair Salons,Beauty & Spas,$$
Adonis,Grocery,Food,$$
M Nails,"Nail Salons, Day Spas",Beauty & Spas,$$
Mezzetta Restaurant & Tapas Bar,"Mediterranean, Tapas Bars",Restaurants,$$
Crepes Club,"Russian, Ukrainian",Restaurants,$$
Nakayoshi Izakaya,Japanese,Restaurants,$$
Victor,American (Traditional),Restaurants,$$$
Mascot Brewery,Breweries,Food,$$
Noce Restaurant,Italian,Restaurants,$$$
H2 Kitchen,"Poke, Health Markets","Food,Specialty Food",$$
D.W. Alexander,Cocktail Bars,Bars,$$
Tzatziki,Greek,Restaurants,$$
Chaplus,Bubble Tea,Food,$
Bubble Bath Spa & Nails,"Eyelash Service, Hair Removal, Nail Salons",Beauty & Spas,$$
The Swan A Firkin Pub,Pubs,Bars,$$
Mad Crush Wine Bar,"Wine Bars, Modern European","Restaurants,Bars",$$$
Goldstruck Coffee,Coffee & Tea,Food,$
The Jersey Giant,"British, Pubs","Restaurants,Bars",$$
Dirty Food Eatery,"Comfort Food, Breakfast & Brunch",Restaurants,$$
George's Deli & BBQ,"Burgers, Sandwiches",Restaurants,$
Tasty's Caribbean Restaurant,Caribbean,Restaurants,$
Bubble Republic on Bay,"Tea Rooms, Taiwanese","Restaurants,Food",$
Hazel's Diner,Diners,Restaurants,$$
Bombay Palace,Indian,Restaurants,$$
Damas Grill House & Juice Bar,"Mediterranean, Middle Eastern",Restaurants,$$
Universal Grill,"American (Traditional), Breakfast & Brunch",Restaurants,$$
Front Street Foods,"Farmers Market, Street Vendors",Food,$$
Cool N2,Ice Cream & Frozen Yogurt,Food,$$
Jazz Bistro,"Music Venues, Venues & Event Spaces, Jazz & Blues","Event Planning & Services,Arts & Entertainment,Nightlife",$$$
Farm'r Eatery & Catering,"Canadian (New), Vegetarian, Gluten-Free",Restaurants,$$
Zocalo,Mexican,Restaurants,
Panpan Noodle Bar,"Chinese, Noodles",Restaurants,$
SSAM,"Bars, Barbeque, Korean","Restaurants,Nightlife",$$$
Joe Bird,"Beer Bar, Ice Cream & Frozen Yogurt, Chicken Shop","Restaurants,Bars,Food",$$
Seven Lives Paleteria,"Ice Cream & Frozen Yogurt, Desserts",Food,$
Mo' Ramyun,"Ramen, Asian Fusion, Korean","Restaurants,Japanese",$$
Mi'hito Sushi Laboratory,"Poke, Sushi Bars","Restaurants,Food",$$
Harbord Fish & Chips,"Fish & Chips, Seafood",Restaurants,$$
Starbucks Reserve,Coffee & Tea,Food,$$
Prenup Pub,"American (Traditional), Venues & Event Spaces, Gastropubs","Restaurants,Event Planning & Services",$$
720 King West Dental,"General Dentistry, Cosmetic Dentists",Dentists,
Rustic Cosmo Cafe,"Coffee & Tea, Breakfast & Brunch, Sandwiches","Restaurants,Food",$$
Ding Tai Fung,Chinese,Restaurants,$$
Savera Indian Cuisine,Indian,Restaurants,$$
Mexican Amigos,Mexican,Restaurants,$$
The Red Tomato,"Asian Fusion, Italian",Restaurants,$$
DEQ Terrace & Lounge,Lounges,Bars,$$$
Village Pizza,Pizza,Restaurants,$$
Urbane Cyclist,"Bikes, Bike Repair/Maintenance","Sporting Goods,Local Services",$$
Kalyvia On the Danforth,Greek,Restaurants,$$
Silk Thai Restaurant,"Soup, Thai, Noodles",Restaurants,$$
Stratengers,Pubs,Bars,$$
Opus Restaurant,"Wine Bars, Modern European","Restaurants,Bars",$$$$
Zoe Christo Image Consulting,Life Coach,Professional Services,
La Rev,Mexican,Restaurants,$$
For The Win Board Game Cafe & Bar,"Hobby Shops, Toy Stores, Cafes","Restaurants,Shopping",$
Sheba Ethiopian Restaurant,Ethiopian,Restaurants,$$
Zezafoun Syrian Cuisine,"Arabian, Syrian, Middle Eastern",Restaurants,$$
Habitant at Nordstrom,"Tapas/Small Plates, Cocktail Bars","Restaurants,Bars",$$
Karma's Kitchen,Himalayan/Nepalese,Restaurants,$$
Green Earth Vegetarian Cuisine,"Soup, Burgers, Vegan",Restaurants,$$
Lucy Ethiopian Kitchen,"Ethiopian, African",Restaurants,$$
Handlebar,"Music Venues, Bars, Dance Clubs","Arts & Entertainment,Nightlife",$$
Taiyaki NYC - Toronto,"Ice Cream & Frozen Yogurt, Desserts, Japanese","Restaurants,Food",
Rustle & Still Café,"Vietnamese, Coffee & Tea","Restaurants,Food",$
Olympic 76 Pizza,Pizza,Restaurants,$$
Urban Outfitters,"Women's Clothing, Home Decor, Men's Clothing","Home & Garden,Fashion",$$$
Harbord Bakery,Bakeries,Food,$$
Target,"Furniture Stores, Department Stores, Electronics","Home & Garden,Shopping,Fashion",$$
Makimono,Sushi Bars,Restaurants,$$
Beauty Wax Room,"Tanning, Laser Hair Removal, Waxing","Beauty & Spas,Hair Removal",$
Japas,"Bars, Tapas Bars, Japanese","Restaurants,Nightlife",$$
Chick-N-Joy,Fast Food,Restaurants,$
Capocaccia Trattoria,"Pizza, Italian",Restaurants,$$
The Stone Lion,Pubs,Bars,$$
Tenoch Restaurant,Mexican,Restaurants,$$
BMO Field,Stadiums & Arenas,Arts & Entertainment,
Fresh & Wild,"Organic Stores, Grocery",Food,$$$
Ananeke Beauty Salon & Spa,"Laser Hair Removal, Skin Care, Nail Salons","Beauty & Spas,Hair Removal",$$
Thai Noodle,"Thai, Noodles",Restaurants,$$
Squirly's,"Lounges, American (Traditional), Cocktail Bars","Restaurants,Bars",$$
Jawny Bakers Restaurant,"Canadian (New), American (Traditional), Bars","Restaurants,Nightlife",$$
Loveless,"Bars, Cafes","Restaurants,Nightlife",$$
Osaka Sushi,"Sushi Bars, Japanese",Restaurants,
Cheers Chicken & Beers,Korean,Restaurants,$$
Extreme Fitness,Gyms,Fitness & Instruction,
Joe's Pastizzi Plus,,,
The Dime,"Comfort Food, American (Traditional), Bars","Restaurants,Nightlife",$
Bukhara Grill,Indian,Restaurants,$$
Caribbean Wave,Caribbean,Restaurants,$
Tuina Center,Massage,Beauty & Spas,
Napoli Centrale,"Pizza, Italian",Restaurants,$$
Tom's Place,"Accessories, Formal Wear, Men's Clothing",Fashion,$$
Lime Asian Kitchen,"Thai, Chinese",Restaurants,$$
Pinkerton Snack Bar,"Tapas/Small Plates, Cocktail Bars","Restaurants,Bars",$
Rowe Farms,"Meat Shops, Grocery","Food,Specialty Food",$$$
Relish Bar & Grill,"Gluten-Free, Tapas/Small Plates, Modern European",Restaurants,$$
Koricancha Restaurant,Peruvian,Restaurants,$$
Fox and Fiddle Yorkmills,"Canadian (New), Music Venues, Pubs","Restaurants,Bars,Arts & Entertainment,Nightlife",$$
Cafe de Paris,"Ice Cream & Frozen Yogurt, Desserts, Cafes","Restaurants,Food",$$
Exotix Studios,"Jewelry, Piercing","Beauty & Spas,Shopping",$$
Red Cranberries Restaurant,Bars,Nightlife,$$
Kenkou Sushi,Sushi Bars,Restaurants,
Spadina Optometry,"Optometrists, Eyewear & Opticians, Laser Eye Surgery/Lasik","Health & Medical,Shopping",$$
Pray Tell,"Tapas/Small Plates, Breakfast & Brunch, Cocktail Bars","Restaurants,Bars",$$
Roux,"Southern, Cajun/Creole, French",Restaurants,$$
Shawarma Grill Xpress,"Fast Food, Sandwiches",Restaurants,
Hokkaido Sushi,"Sushi Bars, Japanese",Restaurants,$$
Boar n Wing Sports Grill,"Sports Bars, Chicken Wings","Restaurants,Bars",$$
NC Salon - North York,Hair Salons,Beauty & Spas,$$
Shogun Japanese Restaurant,"Sushi Bars, Japanese",Restaurants,$$
Ume Fashion Sushi,Sushi Bars,Restaurants,$$
Leela Indian Food Bar,Indian,Restaurants,$$
Casa Sushi,Sushi Bars,Restaurants,$$
Chat Bar,Chinese,Restaurants,
Outrigger,"Canadian (New), Gastropubs",Restaurants,$$
L'Attitudes Salon & Spa,"Laser Hair Removal, Hair Salons, Day Spas","Beauty & Spas,Hair Removal",$$$
Fiesta Farms,Grocery,Food,$$
La Hacienda Restaurant,Mexican,Restaurants,$$
Baka Gallery Cafe,"Coffee & Tea, Cafes","Restaurants,Food",$$
Awai,Vegetarian,Restaurants,$$$
Barans Turkish Cuisine & Bar,"Bars, Turkish","Restaurants,Nightlife",$$$
The Painted Lady,"Music Venues, Venues & Event Spaces, Pubs","Bars,Event Planning & Services,Arts & Entertainment,Nightlife",$$
Lee's Palace,Music Venues,"Arts & Entertainment,Nightlife",$
Bikes On Wheels,Bikes,Sporting Goods,$$
Prepd,Food Delivery Services,Food,
SpeakEasy 21,Speakeasies,Bars,$$$
Bubbletease,"Bubble Tea, Juice Bars & Smoothies",Food,$
North Shore Pie,Bakeries,Food,
Skippa,Japanese,Restaurants,$$$$
Krystos Modern Greek Cuisine,Greek,Restaurants,$$
Firkin on Harbour,Pubs,Bars,$$
Hua Sang Seafood Restaurant,"Soup, Seafood, Noodles",Restaurants,$$
Bellissimo Pizzeria & Ristorante,"Desserts, Pizza, Sandwiches","Restaurants,Food",$$
Osteo Tuina,"Acupuncture, Traditional Chinese Medicine, Massage","Beauty & Spas,Health & Medical",$$
Thai Spicy House,Thai,Restaurants,$$
H2O Float Spa,"Float Spa, Day Spas","Beauty & Spas,Health & Medical",$$
